isub = 0 2 - particle correlation corrected:
 <dcorrerr> = 0.000152583 <ccorrerr> = 0.00015253 <vcorrerr> = 0.00272617
isub = 2 2 - particle correlation corrected:
 <dcorr> = 0.00400658 <ccorr> = 0.00400646 <vcorr> = 0.0798643
 <dcorrerr> = 0.000216362 <ccorrerr> = 0.000216688 <vcorrerr> = 0.00411087
isub = 2 2 - particle correlation corrected:
 <dcorr> = 0.00443575 <ccorr> = 0.00443569 <vcorr> = 0.0884206
 <dcorrerr> = 0.0002178 <ccorrerr> = 0.000217732 <vcorrerr> = 0.00457754
isub = 2 2 - particle correlation corrected:
 <dcorr> = 0.00455823 <ccorr> = 0.00455795 <vcorr> = 0.0908577
 <dcorrerr> = 0.000215679 <ccorrerr> = 0.000216141 <vcorrerr> = 0.00461854
isub = 2 2 - particle correlation corrected:
 <dcorr> = 0.00485005 <ccorr> = 0.00485018 <vcorr> = 0.096683
 <dcorrerr> = 0.000256574 <ccorrerr> = 0.000256288 <vcorrerr> = 0.0055202
isub = 2 2 - particle correlation corrected:
 <dcorr> = 0.00471398 <ccorr> = 0.00471411 <vcorr> = 0.0939706
 <dcorrerr> = 0.00041604 <ccorrerr> = 0.000416188 <vcorrerr> = 0.00844558
isub = 2 2 - particle correlation corrected:
 <dcorr> = 0.00499929 <ccorr> = 0.00499933 <vcorr> = 0.099656
 <dcorrerr> = 0.000415879 <ccorrerr> = 0.00041613 <vcorrerr> = 0.00783605
isub = 2 2 - particle correlation corrected:
 <dcorr> = 0.00506305 <ccorr> = 0.00506293 <vcorr> = 0.100924
 <dcorrerr> = 0.000556603 <ccorrerr> = 0.000556132 <vcorrerr> = 0.010884
isub = 2 2 - particle correlation corrected:
 <dcorr> = 0.00494893 <ccorr> = 0.00494903 <vcorr> = 0.0986533
 <dcorrerr> = 0.000446305 <ccorrerr> = 0.00044648 <vcorrerr> = 0.00862398
isub = 2 2 - particle correlation corrected:
 <dcorr> = 0.00481191 <ccorr> = 0.00481209 <vcorr> = 0.0959238
 <dcorrerr> = 0.000631808 <ccorrerr> = 0.000633092 <vcorrerr> = 0.0134273
isub = 2 2 - particle correlation corrected:
 <dcorr> = 0.00416466 <ccorr> = 0.00416532 <vcorr> = 0.083031
 <dcorrerr> = 0.000935341 <ccorrerr> = 0.000935405 <vcorrerr> = 0.0185509
isub = 2 2 - particle correlation corrected:
 <dcorr> = 0.0042951 <ccorr> = 0.00429513 <vcorr> = 0.0856187
 <dcorrerr> = 0.00138936 <ccorrerr> = 0.00139019 <vcorrerr> = 0.0269231
isub = 2 2 - particle correlation corrected:
 <dcorr> = 0.00376831 <ccorr> = 0.00376759 <vcorr> = 0.0751028
 <dcorrerr> = 0.00116462 <ccorrerr> = 0.00116511 <vcorrerr> = 0.0228803
isub = 2 2 - particle correlation corrected:
 <dcorr> = 0.00422788 <ccorr> = 0.00422775 <vcorr> = 0.0842754
 <dcorrerr> = 0.00104578 <ccorrerr> = 0.00104484 <vcorrerr> = 0.0209316
isub = 2 4 - particle correlation corrected:
 <dcorr> = 0 <ccorr> = 0 <vcorr> = 0
 <dcorrerr> = 0 <ccorrerr> = 0 <vcorrerr> = 0
isub = 2 4 - particle correlation corrected:
 <dcorr> = 2.71077e-06 <ccorr> = -3.59044e-06 <vcorr> = 0.0281151
 <dcorrerr> = 4.84813e-06 <ccorrerr> = 4.62193e-06 <vcorrerr> = 0.0921009
isub = 2 4 - particle correlation corrected:
 <dcorr> = 4.88844e-06 <ccorr> = -3.41508e-06 <vcorr> = 0.0267419
 <dcorrerr> = 4.64016e-06 <ccorrerr> = 4.66279e-06 <vcorrerr> = 0.0752891
isub = 2 4 - particle correlation corrected:
 <dcorr> = 4.87642e-06 <ccorr> = -5.84337e-06 <vcorr> = 0.0457567
 <dcorrerr> = 2.88844e-06 <ccorrerr> = 3.30687e-06 <vcorrerr> = 0.0695822
isub = 2 4 - particle correlation corrected:
 <dcorr> = 4.82264e-06 <ccorr> = -8.84476e-06 <vcorr> = 0.0692592
 <dcorrerr> = 5.48942e-06 <ccorrerr> = 5.60751e-06 <vcorrerr> = 0.0804648
isub = 2 4 - particle correlation corrected:
 <dcorr> = 7.48883e-06 <ccorr> = -8.47503e-06 <vcorr> = 0.066364
 <dcorrerr> = 5.37049e-06 <ccorrerr> = 5.31409e-06 <vcorrerr> = 0.0712636
isub = 2 4 - particle correlation corrected:
 <dcorr> = 1.07181e-05 <ccorr> = -7.40781e-06 <vcorr> = 0.0580071
 <dcorrerr> = 4.95198e-06 <ccorrerr> = 5.16358e-06 <vcorrerr> = 0.0792518
isub = 2 4 - particle correlation corrected:
 <dcorr> = 8.89108e-06 <ccorr> = -1.12763e-05 <vcorr> = 0.0882995
 <dcorrerr> = 5.81127e-06 <ccorrerr> = 5.9846e-06 <vcorrerr> = 0.0908296
isub = 2 4 - particle correlation corrected:
 <dcorr> = 1.19153e-05 <ccorr> = -1.04055e-05 <vcorr> = 0.0814808
 <dcorrerr> = 6.0513e-06 <ccorrerr> = 6.00058e-06 <vcorrerr> = 0.0956423
isub = 2 4 - particle correlation corrected:
 <dcorr> = 1.3598e-05 <ccorr> = -9.35324e-06 <vcorr> = 0.0732409
 <dcorrerr> = 7.9275e-06 <ccorrerr> = 8.00536e-06 <vcorrerr> = 0.104872
isub = 2 4 - particle correlation corrected:
 <dcorr> = 1.46098e-05 <ccorr> = -9.80709e-06 <vcorr> = 0.0767948
 <dcorrerr> = 5.77461e-06 <ccorrerr> = 5.91093e-06 <vcorrerr> = 0.133518
isub = 2 4 - particle correlation corrected:
 <dcorr> = 1.16983e-05 <ccorr> = -1.20359e-05 <vcorr> = 0.0942476
 <dcorrerr> = 1.27501e-05 <ccorrerr> = 1.12984e-05 <vcorrerr> = 0.289762
isub = 2 4 - particle correlation corrected:
 <dcorr> = 9.66026e-06 <ccorr> = -1.55112e-05 <vcorr> = 0.121461
 <dcorrerr> = 1.32113e-05 <ccorrerr> = 1.18581e-05 <vcorrerr> = 0.156913
isub = 2 4 - particle correlation corrected:
 <dcorr> = 1.12668e-05 <ccorr> = -1.42196e-05 <vcorr> = 0.111347
 <dcorrerr> = 1.4985e-05 <ccorrerr> = 1.64542e-05 <vcorrerr> = 0.147277
isub = 2 4 - particle correlation corrected:
 <dcorr> = 1.98388e-05 <ccorr> = -5.08129e-06 <vcorr> = 0.0397893
 <dcorrerr> = 1.47516e-05 <ccorrerr> = 1.33933e-05 <vcorrerr> = 0.248235
isub = 2 4 - particle correlation corrected:
 <dcorr> = 1.68177e-05 <ccorr> = -7.38059e-06 <vcorr> = 0.057794
 <dcorrerr> = 1.88979e-05 <ccorrerr> = 1.77772e-05 <vcorrerr> = 0.378666
isub = 2 4 - particle correlation corrected:
 <dcorr> = 7.62239e-06 <ccorr> = -1.33049e-05 <vcorr> = 0.104185
 <dcorrerr> = 1.90607e-05 <ccorrerr> = 1.66297e-05 <vcorrerr> = 0.434522
isub = 2 4 - particle correlation corrected:
 <dcorr> = -2.68533e-06 <ccorr> = -2.43119e-05 <vcorr> = 0.190375
 <dcorrerr> = 1.95384e-05 <ccorrerr> = 2.25393e-05 <vcorrerr> = 0.57302
isub = 2 4 - particle correlation corrected:
 <dcorr> = 2.3072e-07 <ccorr> = -1.87537e-05 <vcorr> = 0.146852
 <dcorrerr> = 3.84822e-05 <ccorrerr> = 3.95729e-05 <vcorrerr> = 0.452941
isub = 2 4 - particle correlation corrected:
 <dcorr> = 8.70278e-06 <ccorr> = -1.26084e-05 <vcorr> = 0.0987309
 <dcorrerr> = 2.04602e-05 <ccorrerr> = 1.98517e-05 <vcorrerr> = 0.193496
isub = 2 6 - particle correlation corrected:
 <dcorr> = 0 <ccorr> = -1.09072e+15 <vcorr> = 5.44426e+96
 <dcorrerr> = 0 <ccorrerr> = 0 <vcorrerr> = 0
isub = 2 6 - particle correlation corrected:
 <dcorr> = 0 <ccorr> = 2.72459e+40 <vcorr> = 3.68921e+228
 <dcorrerr> = 0 <ccorrerr> = 5.12755e-08 <vcorrerr> = 0
isub = 2 6 - particle correlation corrected:
 <dcorr> = 0 <ccorr> = 1.377e-70 <vcorr> = 1.08633e-75
 <dcorrerr> = 0 <ccorrerr> = 7.09157e-08 <vcorrerr> = 0
isub = 2 6 - particle correlation corrected:
 <dcorr> = 0 <ccorr> = 4.62745e-66 <vcorr> = 2.07599e+193
 <dcorrerr> = 0 <ccorrerr> = 6.36924e-08 <vcorrerr> = 0
isub = 2 6 - particle correlation corrected:
 <dcorr> = 0 <ccorr> = 9.61016e-66 <vcorr> = 2.86257e+232
 <dcorrerr> = 0 <ccorrerr> = 1.38969e-07 <vcorrerr> = 0
isub = 2 6 - particle correlation corrected:
 <dcorr> = 0 <ccorr> = 2.73635e-310 <vcorr> = 3.75864e+150
 <dcorrerr> = 0 <ccorrerr> = 1.50028e-07 <vcorrerr> = 0
isub = 2 6 - particle correlation corrected:
 <dcorr> = 0 <ccorr> = -4.76637e+260 <vcorr> = 5.56459e-309
 <dcorrerr> = 0 <ccorrerr> = 1.70446e-07 <vcorrerr> = 0
isub = 2 6 - particle correlation corrected:
 <dcorr> = 0 <ccorr> = 7.40327e-304 <vcorr> = 5.86683e-306
 <dcorrerr> = 0 <ccorrerr> = 2.16779e-07 <vcorrerr> = 0
isub = 2 6 - particle correlation corrected:
 <dcorr> = 0 <ccorr> = 4.94661e+173 <vcorr> = 1.35831e-307
 <dcorrerr> = 0 <ccorrerr> = 2.46095e-07 <vcorrerr> = 0
isub = 2 6 - particle correlation corrected:
 <dcorr> = 0 <ccorr> = 7.26401e+170 <vcorr> = 3.18806e+20
 <dcorrerr> = 0 <ccorrerr> = 3.12441e-07 <vcorrerr> = 0
isub = 2 6 - particle correlation corrected:
 <dcorr> = 0 <ccorr> = 3.97442e+150 <vcorr> = 2.70624e+232
 <dcorrerr> = 0 <ccorrerr> = 3.49477e-07 <vcorrerr> = 0
isub = 2 6 - particle correlation corrected:
 <dcorr> = 0 <ccorr> = 7.26393e+170 <vcorr> = 3.34946e+150
 <dcorrerr> = 0 <ccorrerr> = 4.45103e-07 <vcorrerr> = 0
isub = 2 6 - particle correlation corrected:
 <dcorr> = 0 <ccorr> = 3.97442e+150 <vcorr> = 9.31287e+199
 <dcorrerr> = 0 <ccorrerr> = 5.26701e-07 <vcorrerr> = 0
isub = 2 6 - particle correlation corrected:
 <dcorr> = 0 <ccorr> = 7.29147e-304 <vcorr> = 1.08633e-75
 <dcorrerr> = 0 <ccorrerr> = 1.01744e-06 <vcorrerr> = 0
isub = 2 6 - particle correlation corrected:
 <dcorr> = 0 <ccorr> = 1.26478e+106 <vcorr> = 2.79068e-310
 <dcorrerr> = 0 <ccorrerr> = 5.07828e-07 <vcorrerr> = 0
isub = 2 6 - particle correlation corrected:
 <dcorr> = 0 <ccorr> = 1.39201e-309 <vcorr> = 2.22507e-308
 <dcorrerr> = 0 <ccorrerr> = 7.47953e-07 <vcorrerr> = 0
isub = 2 6 - particle correlation corrected:
 <dcorr> = 0 <ccorr> = 1.64181e-287 <vcorr> = 7.42107e-304
 <dcorrerr> = 0 <ccorrerr> = 5.18809e-07 <vcorrerr> = 0
isub = 2 6 - particle correlation corrected:
 <dcorr> = 0 <ccorr> = 9.28419e+199 <vcorr> = 4.94661e+173
 <dcorrerr> = 0 <ccorrerr> = 1.54136e-06 <vcorrerr> = 0
isub = 2 6 - particle correlation corrected:
 <dcorr> = 0 <ccorr> = 1.07782e-75 <vcorr> = 1.55284e+267
 <dcorrerr> = 0 <ccorrerr> = 1.42959e-06 <vcorrerr> = 0
isub = 2 6 - particle correlation corrected:
 <dcorr> = 0 <ccorr> = 9.28419e+199 <vcorr> = 5.67792e-61
 <dcorrerr> = 0 <ccorrerr> = 8.897e-07 <vcorrerr> = 0
